user_id,user_id,genre_id
0,0,8
1,1,8
2,2,8
3,3,8
4,4,8
5,5,8
6,6,8
7,7,8
8,8,8
9,9,8
11,11,8
12,12,2
13,13,8
14,14,8
15,15,8
16,16,8
17,17,8
18,18,8
19,19,8
20,20,8
21,21,8
22,22,8
23,23,8
24,24,8
25,25,8
26,26,8
27,27,8
28,28,8
29,29,8
30,30,8
31,31,8
32,32,8
33,33,8
34,34,8
35,35,8
36,36,8
37,37,8
39,39,8
40,40,8
41,41,8
42,42,8
43,43,12
44,44,8
45,45,8
46,46,8
47,47,8
48,48,8
49,49,8
50,50,8
51,51,8
52,52,8
53,53,8
54,54,8
55,55,8
56,56,8
57,57,8
58,58,8
59,59,8
60,60,8
62,62,8
63,63,8
64,64,8
65,65,8
66,66,8
67,67,8
68,68,8
69,69,8
70,70,8
71,71,8
72,72,8
73,73,8
74,74,8
75,75,8
76,76,8
77,77,8
78,78,8
79,79,8
80,80,8
81,81,8
82,82,8
83,83,8
84,84,8
85,85,8
86,86,8
87,87,8
88,88,8
89,89,8
90,90,8
91,91,8
92,92,8
93,93,8
94,94,8
95,95,8
96,96,8
97,97,17
98,98,8
99,99,8
100,100,8
101,101,8
102,102,8
103,103,8
104,104,12
105,105,8
106,106,8
107,107,8
108,108,8
109,109,8
110,110,1
111,111,8
112,112,8
113,113,8
114,114,8
115,115,8
116,116,8
117,117,8
118,118,8
119,119,8
120,120,8
121,121,8
122,122,12
123,123,8
124,124,8
126,126,8
128,128,8
129,129,8
130,130,8
131,131,8
132,132,8
133,133,8
134,134,8
135,135,8
136,136,8
137,137,8
138,138,8
139,139,8
140,140,8
142,142,8
143,143,8
144,144,8
145,145,8
146,146,15
147,147,8
149,149,8
150,150,8
151,151,12
152,152,8
155,155,8
156,156,8
157,157,8
159,159,8
160,160,8
162,162,8
163,163,8
164,164,8
165,165,8
166,166,8
167,167,8
168,168,8
169,169,3
170,170,8
171,171,8
172,172,8
173,173,8
174,174,8
175,175,8
176,176,8
177,177,8
179,179,8
180,180,8
181,181,8
182,182,8
183,183,8
184,184,8
185,185,8
186,186,8
187,187,8
188,188,8
189,189,8
190,190,8
191,191,8
192,192,8
193,193,8
194,194,8
195,195,8
196,196,8
197,197,12
198,198,8
199,199,8
200,200,8
201,201,8
202,202,8
203,203,8
204,204,8
206,206,8
207,207,8
208,208,8
209,209,8
210,210,5
211,211,8
212,212,8
213,213,8
214,214,8
215,215,8
216,216,8
217,217,8
218,218,8
219,219,8
220,220,8
221,221,8
222,222,8
223,223,12
224,224,3
225,225,8
226,226,17
227,227,8
228,228,8
229,229,8
230,230,5
231,231,8
232,232,8
233,233,8
234,234,8
235,235,8
236,236,8
237,237,8
238,238,8
240,240,8
241,241,8
242,242,8
243,243,8
244,244,8
245,245,2
246,246,8
247,247,2
248,248,8
249,249,5
250,250,8
251,251,2
252,252,8
253,253,8
254,254,8
255,255,8
256,256,8
257,257,8
259,259,8
260,260,8
261,261,8
262,262,8
263,263,8
264,264,2
265,265,8
266,266,8
267,267,1
268,268,8
269,269,8
270,270,12
271,271,2
272,272,8
273,273,5
274,274,8
276,276,8
277,277,8
278,278,5
279,279,8
280,280,8
281,281,8
282,282,8
283,283,8
284,284,8
285,285,8
286,286,8
287,287,8
288,288,8
289,289,8
290,290,8
291,291,8
292,292,8
293,293,8
294,294,8
295,295,8
296,296,8
297,297,12
298,298,5
299,299,8
300,300,8
301,301,8
302,302,8
303,303,8
304,304,8
305,305,1
306,306,8
307,307,8
308,308,12
309,309,8
310,310,8
311,311,8
312,312,8
313,313,8
314,314,8
316,316,8
317,317,5
318,318,5
319,319,8
320,320,8
321,321,8
322,322,12
323,323,8
324,324,8
325,325,8
326,326,8
327,327,8
328,328,8
329,329,8
330,330,8
331,331,8
332,332,8
333,333,8
334,334,8
335,335,8
336,336,8
337,337,8
338,338,8
339,339,8
340,340,8
341,341,8
342,342,8
343,343,8
344,344,8
345,345,8
346,346,8
347,347,8
348,348,8
349,349,8
350,350,8
351,351,8
352,352,8
353,353,8
354,354,8
355,355,8
356,356,8
357,357,8
359,359,8
360,360,5
361,361,2
362,362,8
363,363,8
364,364,8
365,365,8
366,366,8
367,367,8
368,368,8
370,370,8
371,371,8
372,372,8
373,373,8
374,374,8
375,375,8
377,377,8
378,378,8
379,379,8
380,380,5
381,381,8
382,382,8
383,383,8
384,384,8
385,385,5
386,386,8
388,388,12
389,389,8
390,390,8
391,391,8
392,392,8
393,393,8
394,394,8
395,395,8
396,396,8
397,397,8
398,398,8
399,399,8
400,400,8
401,401,8
403,403,8
406,406,8
407,407,8
408,408,3
409,409,8
410,410,8
411,411,8
412,412,8
413,413,8
415,415,8
417,417,5
418,418,8
419,419,8
420,420,8
421,421,8
422,422,8
424,424,8
425,425,2
426,426,8
427,427,8
428,428,8
429,429,3
430,430,8
431,431,8
432,432,8
433,433,8
434,434,8
435,435,8
436,436,8
437,437,8
438,438,8
439,439,8
440,440,8
441,441,8
442,442,8
443,443,8
444,444,8
445,445,8
446,446,8
447,447,8
448,448,8
449,449,8
450,450,8
451,451,8
453,453,8
454,454,8
456,456,8
457,457,8
458,458,8
459,459,8
460,460,8
461,461,8
462,462,8
463,463,8
464,464,8
465,465,8
466,466,5
467,467,8
468,468,8
470,470,8
471,471,8
472,472,8
473,473,8
475,475,8
476,476,8
477,477,16
478,478,8
479,479,8
480,480,8
481,481,8
482,482,8
483,483,8
484,484,8
485,485,8
486,486,8
487,487,8
488,488,8
489,489,8
490,490,8
491,491,8
492,492,8
493,493,8
494,494,8
495,495,8
496,496,8
497,497,8
498,498,8
499,499,8
500,500,6
501,501,8
502,502,8
503,503,5
504,504,2
505,505,8
506,506,8
507,507,8
508,508,8
509,509,8
510,510,8
511,511,8
512,512,8
513,513,17
514,514,8
515,515,8
516,516,8
517,517,8
518,518,8
519,519,8
520,520,8
521,521,8
522,522,8
523,523,8
524,524,8
525,525,8
526,526,8
527,527,8
528,528,8
529,529,8
530,530,8
531,531,8
532,532,8
533,533,1
534,534,8
535,535,8
537,537,8
538,538,8
539,539,8
540,540,8
541,541,12
542,542,8
543,543,8
544,544,8
545,545,8
546,546,2
547,547,8
548,548,8
549,549,8
550,550,8
551,551,8
552,552,8
553,553,8
554,554,8
556,556,8
557,557,8
558,558,8
559,559,8
560,560,8
561,561,8
562,562,8
563,563,8
564,564,8
565,565,12
566,566,8
567,567,8
568,568,5
569,569,8
570,570,8
571,571,1
572,572,2
573,573,8
574,574,2
575,575,8
576,576,8
577,577,8
578,578,8
579,579,8
580,580,8
581,581,2
582,582,8
583,583,8
584,584,8
585,585,8
586,586,8
587,587,8
588,588,8
589,589,8
590,590,8
591,591,8
592,592,8
593,593,8
594,594,8
595,595,8
596,596,5
597,597,8
598,598,12
599,599,8
600,600,5
601,601,8
602,602,8
603,603,8
604,604,8
605,605,8
606,606,8
607,607,8
608,608,8
609,609,5
610,610,8
611,611,8
612,612,8
613,613,8
614,614,8
615,615,8
616,616,8
617,617,8
618,618,2
619,619,8
620,620,8
621,621,8
622,622,8
623,623,8
624,624,8
625,625,8
626,626,8
627,627,2
628,628,8
629,629,5
630,630,8
631,631,8
632,632,8
633,633,8
634,634,8
635,635,8
636,636,8
637,637,8
638,638,8
639,639,8
640,640,8
641,641,8
642,642,8
643,643,8
644,644,8
645,645,8
647,647,8
648,648,8
650,650,8
651,651,8
652,652,8
653,653,8
654,654,8
655,655,8
656,656,8
657,657,8
658,658,8
659,659,8
660,660,8
661,661,8
662,662,8
663,663,8
664,664,8
665,665,8
666,666,8
667,667,8
668,668,8
669,669,8
670,670,12
671,671,8
672,672,8
673,673,8
674,674,8
675,675,8
676,676,8
677,677,5
678,678,8
679,679,8
680,680,8
681,681,8
682,682,8
683,683,8
684,684,8
685,685,8
686,686,8
687,687,1
688,688,8
689,689,8
690,690,8
691,691,5
692,692,9
693,693,8
696,696,8
697,697,12
698,698,5
699,699,8
700,700,8
701,701,8
702,702,8
703,703,8
704,704,8
705,705,8
706,706,8
707,707,8
708,708,8
709,709,8
710,710,8
711,711,8
712,712,8
713,713,8
714,714,8
715,715,5
716,716,8
717,717,8
718,718,8
719,719,8
720,720,8
721,721,8
722,722,8
723,723,8
724,724,8
725,725,8
726,726,8
727,727,8
728,728,8
729,729,8
730,730,8
731,731,5
732,732,8
733,733,1
734,734,8
735,735,8
736,736,8
737,737,8
738,738,8
739,739,8
740,740,8
741,741,8
742,742,8
743,743,8
744,744,8
746,746,8
747,747,8
748,748,8
749,749,8
750,750,8
751,751,8
752,752,8
753,753,8
754,754,8
755,755,5
756,756,8
757,757,8
758,758,8
759,759,8
760,760,8
761,761,8
762,762,8
763,763,8
764,764,8
765,765,8
766,766,8
767,767,8
768,768,8
769,769,8
770,770,8
771,771,8
772,772,8
773,773,8
774,774,8
775,775,8
776,776,8
777,777,8
778,778,8
779,779,8
780,780,5
781,781,5
782,782,2
783,783,8
784,784,8
785,785,8
786,786,8
787,787,8
788,788,8
789,789,8
790,790,8
791,791,8
792,792,8
794,794,8
795,795,16
796,796,8
797,797,8
798,798,8
799,799,8
800,800,8
802,802,8
803,803,8
804,804,8
805,805,8
806,806,8
807,807,8
808,808,8
809,809,8
810,810,8
811,811,8
812,812,8
813,813,8
814,814,8
815,815,8
816,816,8
817,817,8
818,818,8
819,819,8
820,820,5
821,821,8
822,822,8
823,823,8
824,824,8
826,826,8
827,827,8
828,828,8
829,829,8
830,830,8
831,831,8
832,832,8
834,834,8
835,835,8
836,836,8
837,837,8
838,838,8
839,839,8
840,840,8
841,841,8
842,842,8
843,843,8
844,844,8
845,845,1
846,846,1
847,847,8
848,848,8
849,849,12
850,850,8
851,851,8
852,852,8
853,853,8
854,854,8
855,855,8
856,856,8
857,857,8
858,858,8
859,859,8
860,860,8
861,861,8
862,862,8
863,863,8
864,864,8
865,865,8
866,866,8
867,867,5
868,868,8
